index,value
0,-3.7637964345791253
1,13.521429192297486
2,6.959818254342153
3,2.959754525911098
4,-10.319440786726904
5,-10.32016438991392
6,-13.257491634954016
7,10.985284373248055
8,3.0334503522962644
9,6.242177333881365
10,-14.382465171125926
11,14.097295564859829
12,9.973279224012652
13,-8.629826679651716
14,-9.545250983786982
15,-9.497864704396985
16,-5.872732711213868
17,0.7426929489671352
18,-2.041649440736527
19,-6.263125794058743
20,3.355586841671384
21,-10.815184180438745
22,-6.235660543943455
23,-4.009144701189249
24,-1.3179004734889221
25,8.555278841790408
26,-9.009786535249209
27,0.42703315240834816
28,2.772437065861274
29,-13.606487618400068
30,3.226345557043151
31,-9.884276289381255
32,-13.048452210441614
33,13.466566117599998
34,13.96896099223678
35,9.251920443493834
36,-5.861586924798879
37,-12.069836579808484
38,5.526990795364707
39,-1.795425187811961
40,-11.338852954656636
41,-0.14469269666189444
42,-13.968344366543448
43,12.279612062363462
44,-7.2366005519994925
45,4.875668530619459
46,-5.648667717317672
47,0.6020406353343244
48,1.4013083802983894
49,-9.454366334234189
50,14.087538832936756
51,8.253984700833437
52,13.184968246925674
53,11.844820512829465
54,2.9369993643325545
55,12.656227050693506
56,-12.345224938442415
57,-9.120514127425643
58,-13.643181332683858
59,-5.24009007710207
60,-3.33968130931554
61,-6.8595290467831225
62,9.86212527455788
63,-4.297400199192322
64,-6.571964709378577
65,1.280882494747454
66,-10.77227325075712
67,9.06590942262119
68,-12.763480689606876
69,14.606608098015519
70,8.167343078899723
71,-9.038529553974827
72,-14.834336486291928
73,9.463842853645025
74,6.205720315428513
75,6.870215041229619
76,8.138110400578372
77,-12.77866044797729
78,-4.246028143671822
79,-11.523928214246109
80,10.893102776267806
81,3.6989438048267376
82,-5.073059254420524
83,-13.093249491419291
84,-5.670530348530134
85,-5.244500339197589
86,6.888185350141923
87,4.1267241406563935
88,11.616382277289796
89,-0.8335522451415212
90,-11.41217262185095
91,6.3973436166898505
92,7.823551458506923
93,1.838315927084887
94,8.12901539863683
95,-0.1861321090682777
96,0.6819848814598217
97,-2.173769449243511
98,-14.237426197677145
99,-11.763257190200866
