index,value
20,-14.246261880678942
35,-7.0121956725796135
42,3.2012457550218665
56,-8.164737738588233
58,13.531832327185313
87,-11.209054698089945
96,2.131659356313693
100,3.3024015808599616
105,-12.611012658634253
108,9.323271303538554
110,12.785004591226732
114,-2.468681606902834
118,6.525326309244546
143,9.456900145432883
145,-14.415674053508031
154,10.093741484632758
158,13.7908332987139
165,-7.792196416671069
172,8.872830985530115
173,-14.38889876185653
174,-13.098262709786205
190,10.244446067638151
201,13.50222721830129
205,-4.699876981568284
208,3.1693439095990126
219,-6.161253229603138
225,-11.36581727817455
243,13.840465404268675
244,4.357738522569069
249,-11.912805339897176
253,3.9939530693314715
264,-10.641412749983791
280,12.428370034839332
282,11.821177130797517
283,14.364351458885741
294,-0.8068597143970335
314,1.5203534773972682
334,-1.3193319337613418
335,12.013259515461765
354,-14.516548927473746
363,9.695190641377769
369,-1.231954095104919
371,4.548314407350933
374,-13.366016826073905
376,-0.48622989268557126
377,2.1557900785875397
382,-9.066259421338088
388,12.186466212893928
399,11.178475028582637
404,13.576400483239068
409,-8.557981643633276
422,-11.734555416679672
434,14.494442751791173
450,-3.6658838810793934
455,8.366541144813803
459,-4.605371271643225
462,-6.407801281332393
467,-3.1476103783405938
475,0.5788077549261594
478,-5.1407757781551355
485,4.472934162300342
486,6.462148337479964
487,-14.303308478623089
489,3.294764908484349
494,-4.791817337126652
497,-10.714137357164494
511,6.640294573848156
526,14.931092348089223
539,-4.680745301408294
544,11.730129002289875
567,6.4923227322485735
571,5.325912955833748
573,-14.424620706145932
575,1.8341695480306563
585,-5.164736727714442
591,12.732862834454048
599,-0.565956650630044
620,11.99920984755011
624,14.010334495184214
631,7.1734654723797
634,4.966006666911612
640,12.308653710268153
663,-0.47146549161059204
672,-6.347213171893568
680,-3.8891391854100887
695,-2.2913200909379627
701,11.081378844830422
703,4.134337580946168
707,-0.034264704468084384
711,-9.968924705037157
714,12.640400185089876
717,-3.026530608538407
742,-4.801280965107374
743,2.7390616642141397
767,-11.922092216786803
772,12.43936908924939
777,-3.808085825732448
784,8.242605696192983
791,-12.784482138285117
793,8.801986023941279
808,7.121327750949659
814,0.5531644001500491
820,-9.839088054647096
831,8.857012690271697
834,-10.877421958226055
836,-4.9426020451728805
848,3.378901002861517
854,-9.593289202262447
867,7.300309360690067
874,8.184024339457654
886,11.33472448166859
926,8.696274873243757
927,6.384430272214421
935,-1.3594648096745732
939,4.51701440045248
945,5.877073782259354
957,2.8060056533365563
961,-12.505119938651852
964,13.255207155443271
986,-4.325241202472618
1000,-3.152653734605948
1004,3.3316850711550403
1005,-9.772743402767407
