row,column,value
52,62,0.7795528687952618
84,46,0.022449248431324675
31,17,0.5998857880527747
42,47,0.6954106709697243
21,45,0.8254583257962852
40,63,0.056002308939000156
76,5,0.48010782795228635
2,52,0.5353708726383943
63,63,0.16912486264417803
39,4,0.3224498097106496
50,27,0.4402217262561652
87,74,0.8332096879578015
72,52,0.9294075660702069
53,56,0.6284228289176729
99,39,0.3949451860214621
33,60,0.25403101779898596
82,5,0.9821351844361504
30,99,0.9830199980763584
51,70,0.9249769482350347
58,81,0.7856691498778192
96,98,0.32577954374561824
49,22,0.8170004834976307
40,46,0.40879301727117257
85,94,0.3267730981550452
47,49,0.7448653584662795
20,99,0.07965392762042289
63,19,0.04856272329566169
43,82,0.4479536971811856
90,65,0.4456388008221619
47,88,0.8956441530638349
21,3,0.1261530962878168
78,26,0.12328392745241279
25,46,0.14745260047490116
49,49,0.029736261294602606
28,83,0.07173173781490838
37,33,0.659869866829039
89,55,0.4315843291175092
51,2,0.7636030670880136
73,39,0.9925977185816602
30,66,0.6590346810990013
47,55,0.050455570620123735
35,0,0.10456286475434151
62,83,0.8810040848147078
13,15,0.5274959445582615
17,93,0.82483715939574
39,0,0.856612336224926
19,48,0.9276745414995192
65,34,0.9498292054863657
60,17,0.5548257965033062
4,23,0.34102017225603387
23,37,0.9618648743479986
84,82,0.5474064060012253
93,49,0.06425272295461104
27,81,0.642776550059865
32,30,0.5876847503950108
38,79,0.895792872894706
39,30,0.6531871891578125
55,96,0.3490524244615514
45,25,0.9662257257058204
92,25,0.8016194859820336
88,11,0.6304176183813543
66,79,0.2929252034031229
77,60,0.37354029631429553
7,1,0.6699699240966567
15,13,0.07198081846332172
87,81,0.25668059165026347
53,27,0.713900933396598
53,97,0.4800185098446209
31,62,0.4023935648144301
76,28,0.1514576224004145
23,53,0.4418490344777326
99,7,0.7706919707602339
70,35,0.264012846071893
94,28,0.005398542183677413
27,29,0.6685049011509828
78,81,0.9726266044325526
71,9,0.6068265635885829
87,66,0.11992185892713014
75,85,0.32073309234467307
20,20,0.8676416147202234
54,90,0.23256807425682857
52,9,0.607695903497608
59,53,0.4026712082539978
57,38,0.20784372141964902
61,58,0.8134068935646797
45,31,0.7428312764656902
5,33,0.6615910659592654
6,30,0.2363365902687512
1,90,0.09785700271645004
70,77,0.5761593298259662
38,74,0.5536778335394333
42,79,0.188385009334873
38,92,0.056246694315172485
56,10,0.08070845419398598
54,31,0.9927709865127338
87,37,0.7835838947428837
89,91,0.9219874759651726
25,78,0.19505472223636333
39,75,0.9605685363234351
31,72,0.14265435147316208
64,7,0.5090818285664711
19,50,0.829695684417064
3,49,0.3498033545115794
93,80,0.4248285331769005
43,68,0.12818511029909785
65,21,0.12292187999897275
62,18,0.6195682247786596
50,78,0.6755323686200567
23,91,0.7773325140821933
40,23,0.5566820526817535
27,55,0.6457592922613059
43,67,0.013517271699720057
3,40,0.16217072713718805
23,11,0.9849147660169046
9,87,0.0759935063158318
49,40,0.6787882222602449
40,76,0.17608263303171623
65,7,0.7167185857676419
44,23,0.7059904029619934
71,40,0.2341990597880902
16,72,0.2696343992192042
16,42,0.6547707136020883
52,79,0.39008603878021364
70,59,0.19454796969991128
50,33,0.7316795987874818
95,46,0.15414752433633416
99,33,0.8556436641449466
81,40,0.5146695240518275
49,91,0.10570060387930069
24,12,0.6940723335309844
92,62,0.5191630395745405
22,31,0.2980575717948095
10,5,0.42253938022385484
94,57,0.29833774358749876
81,81,0.26302583574278404
17,94,0.1636084208437122
96,0,0.3627671331374759
81,66,0.25098720631607074
12,15,0.6834344870539171
91,87,0.6838767411633063
19,1,0.5018402425556384
91,77,0.7779445274703211
17,65,0.8413397190060482
33,0,0.5797664574342731
87,78,0.6189351627634337
30,68,0.2828859097863652
21,54,0.8948692007055198
68,10,0.024206044422529827
47,13,0.3486024694428457
47,47,0.721800421549856
5,60,0.08008950967116124
39,60,0.18316952742829262
17,38,0.5892857278628512
46,84,0.5599936714635579
69,52,0.738928296130955
97,68,0.8126126390881718
9,53,0.12857957851166912
31,0,0.01838098977524205
74,56,0.6896385196589061
86,43,0.3013917957663592
29,0,0.6259839139179536
2,42,0.1505445880622247
7,75,0.4690400466659629
35,7,0.5044247460634369
67,20,0.5850778163732161
6,1,0.5131700163305644
44,96,0.4956907702287139
94,88,0.33273415398385553
20,80,0.07118023631808623
32,22,0.08952019679684231
93,9,0.43377827440715366
12,94,0.35579312782099304
58,70,0.5161348046744978
89,67,0.30483816925626694
60,3,0.6879100914553243
4,3,0.8639548220095106
27,26,0.2988631887868677
65,89,0.1929840079390286
13,45,0.11618057425408912
10,59,0.6162540405708125
13,83,0.4438559911405694
0,31,0.18801571719628896
3,57,0.6531367332918554
98,38,0.1484831830052844
40,54,0.5543007058479525
30,79,0.5271483816252647
21,6,0.7342278011860833
35,72,0.055109639940666755
98,24,0.8878729318513303
13,7,0.7029917261468195
3,84,0.21612599834876223
55,28,0.18340534860973967
69,42,0.4316602141437834
8,29,0.8175653295445969
80,80,0.8429499931391071
16,45,0.520456092139383
61,12,0.8608108626867375
60,31,0.005443709191690571
70,9,0.03517463153159661
12,39,0.9118215936367428
98,51,0.775331929885916
46,88,0.4507060582503857
59,2,0.7536101314779872
90,37,0.9556394617234216
2,92,0.772089523881285
87,4,0.842371333818322
7,79,0.7606065813900618
18,5,0.1682110924335416
42,83,0.8335741096457367
11,3,0.19510882002421004
31,32,0.892611328044147
32,79,0.4586498980810759
57,74,0.6769767523110285
83,97,0.4972408478806435
83,51,0.09399092941660203
76,80,0.2907223076206651
1,65,0.983731853997006
90,67,0.9607147516698173
72,77,0.3204868976555473
37,27,0.9962968042452258
41,78,0.8455511954968996
61,62,0.6109594994322547
5,82,0.04012462026100949
47,12,0.9014468295383795
35,93,0.5574292792643197
94,41,0.8684761512027696
0,80,0.8344291199057423
77,73,0.8330062152010861
34,34,0.6981738607149051
81,53,0.2914151386760486
58,9,0.33616025774451985
16,4,0.30846921258268634
41,57,0.020045999532564696
27,67,0.5825689092148112
81,43,0.6988336704460328
96,51,0.8538659935252035
12,11,0.14016543338273035
88,26,0.5441831489768018
72,64,0.00800814067378286
19,88,0.09509364771072948
7,78,0.05421174420599306
10,34,0.7254780340154869
80,0,0.08105956387760316
13,46,0.71645298155879
73,13,0.24962470441058338
9,15,0.8777129606969395
42,64,0.8131499883638141
70,30,0.9578302174752765
15,30,0.8837620154580319
22,48,0.9333294191163473
21,78,0.8587423965133077
92,0,0.6933819006148554
20,94,0.17025915212543596
99,65,0.27170751885409294
42,44,0.2127269661302731
1,76,0.6035857876582056
34,38,0.5036199379736014
1,97,0.8670799971584237
21,43,0.9526728664990757
93,33,0.40485988961814434
51,47,0.5063505532808124
28,72,0.9715163568041392
90,91,0.27623894162314355
60,23,0.7923907753588136
47,11,0.22523990233524627
65,56,0.681460115425272
74,80,0.25361562763856416
